"h [mm]","w [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
0.05,0.03,1,-31.7184709665273,-0.154910116603736,-0.154910116603736,-31.7184416562036
0.05,0.03,1.0475,-31.4814862045034,-0.155696805561677,-0.155696805561677,-31.481455914716
0.05,0.03,1.095,-31.2473882323697,-0.15650112961959,-0.15650112961959,-31.2473569906468
0.05,0.03,1.1425,-31.0164682523235,-0.157321398702641,-0.157321398702641,-31.0164360843158
0.05,0.03,1.19,-30.7889534960757,-0.158155984813865,-0.158155984813865,-30.7889204255115
0.05,0.03,1.2375,-30.5650169420173,-0.159003327357292,-0.159003327357292,-30.5649829907173
0.05,0.03,1.285,-30.3447857885852,-0.159861937378224,-0.159861937378224,-30.3447509765199
0.05,0.03,1.3325,-30.1283487895341,-0.160730400778516,-0.160730400778516,-30.1283131349105
0.05,0.03,1.38,-29.9157625664496,-0.161607380574542,-0.161607380574542,-29.9157260858172
0.05,0.03,1.4275,-29.7070570146201,-0.16249161827292,-0.16249161827292,-29.7070197229883
0.05,0.03,1.475,-29.5022399136311,-0.163381934443848,-0.163381934443848,-29.5022018245926
0.05,0.03,1.5225,-29.3013008460948,-0.16427722857438,-0.16427722857438,-29.3012619719496
0.05,0.03,1.57,-29.1042145183923,-0.165176478284579,-0.165176478284579,-29.1041748702713
0.05,0.03,1.6175,-28.910943567241,-0.166078737988303,-0.166078737988303,-28.9109031552246
0.05,0.03,1.665,-28.7214409259845,-0.166983137077986,-0.166983137077986,-28.7213997592173
0.05,0.03,1.7125,-28.5356518151413,-0.167888877709,-0.167888877709,-28.5356099019398
0.05,0.03,1.76,-28.3535154131538,-0.168795232254915,-0.168795232254915,-28.353472761108
0.05,0.03,1.8075,-28.174966255551,-0.169701540499736,-0.169701540499736,-28.174922871619
0.05,0.03,1.855,-27.999935403886,-0.17060720662789,-0.17060720662789,-27.9998912944823
0.05,0.03,1.9025,-27.8283514198081,-0.171511696066985,-0.171511696066985,-27.8283065908845
0.05,0.03,1.95,-27.6601411744078,-0.172414532232642,-0.172414532232642,-27.6600956315285
0.05,0.03,1.9975,-27.4952305184719,-0.173315293219114,-0.173315293219114,-27.4951842668818
0.05,0.03,2.045,-27.3335448354123,-0.174213608473883,-0.174213608473883,-27.3334978801006
0.05,0.03,2.0925,-27.175009495328,-0.175109155489206,-0.175109155489206,-27.1749618410846
0.05,0.03,2.14,-27.019550225829,-0.176001656538692,-0.176001656538692,-27.0195018772973
0.05,0.03,2.1875,-26.867093412856,-0.176890875482448,-0.176890875482448,-26.8670443745804
0.05,0.03,2.235,-26.7175663426859,-0.177776614660101,-0.177776614660101,-26.7175166191546
0.05,0.03,2.2825,-26.5708973945841,-0.178658711887262,-0.178658711887262,-26.5708469902679
0.05,0.03,2.33,-26.4270161920997,-0.179537037567563,-0.179537037567563,-26.426965111487
0.05,0.03,2.3775,-26.2858537197594,-0.180411491929353,-0.180411491929353,-26.2858019673879
0.05,0.03,2.425,-26.1473424108649,-0.181282002393488,-0.181282002393488,-26.1472899913496
0.05,0.03,2.4725,-26.0114162112135,-0.182148521076352,-0.182148521076352,-26.011363129272
0.05,0.03,2.52,-25.8780106228074,-0.183011022430192,-0.183011022430192,-25.8779568832822
0.05,0.03,2.5675,-25.7470627309851,-0.183869501021158,-0.183869501021158,-25.7470083388634
0.05,0.03,2.615,-25.6185112178711,-0.184723969444075,-0.184723969444075,-25.6184561783026
0.05,0.03,2.6625,-25.4922963645847,-0.185574456371653,-0.185574456371653,-25.4922406828963
0.05,0.03,2.71,-25.3683600442659,-0.18642100473501,-0.18642100473501,-25.3683037259754
0.05,0.03,2.7575,-25.2466457076518,-0.187263670031543,-0.187263670031543,-25.2465887584791
0.05,0.03,2.805,-25.1270983626607,-0.18810251875554,-0.18810251875554,-25.1270407885371
0.05,0.03,2.8525,-25.0096645492095,-0.188937626946599,-0.188937626946599,-25.0096063562864
0.05,0.03,2.9,-24.8942923102943,-0.189769078850471,-0.189769078850471,-24.8942335049493
0.05,0.03,2.9475,-24.7809311601942,-0.190596965686806,-0.190596965686806,-24.7808717490364
0.05,0.03,2.995,-24.6695320505207,-0.191421384518165,-0.191421384518165,-24.6694720403948
0.05,0.03,3.0425,-24.5600473347144,-0.192242437214594,-0.192242437214594,-24.5599867327031
0.05,0.03,3.09,-24.4524307314888,-0.193060229508093,-0.193060229508093,-24.4523695449148
0.05,0.03,3.1375,-24.3466372876373,-0.193874870131448,-0.193874870131448,-24.346575524064
0.05,0.03,3.185,-24.2426233405462,-0.194686470035949,-0.194686470035949,-24.2425610077775
0.05,0.03,3.2325,-24.1403464806952,-0.1954951416827,-0.1954951416827,-24.1402835867741
0.05,0.03,3.28,-24.0397655143759,-0.196300998402478,-0.196300998402478,-24.0397020675829
0.05,0.03,3.3275,-23.940840426815,-0.197104153819195,-0.197104153819195,-23.9407764356655
0.05,0.03,3.375,-23.843532345852,-0.197904721332331,-0.197904721332331,-23.8434678190929
0.05,0.03,3.4225,-23.7478035062904,-0.198702813653897,-0.198702813653897,-23.7477384528963
0.05,0.03,3.47,-23.6536172150153,-0.199498542395701,-0.199498542395701,-23.6535516441841
0.05,0.03,3.5175,-23.5609378169484,-0.200292017702999,-0.200292017702999,-23.5608717380958
0.05,0.03,3.565,-23.4697306618927,-0.20108334793073,-0.20108334793073,-23.4696640846472
0.05,0.03,3.6125,-23.3799620723051,-0.201872639358898,-0.201872639358898,-23.379895006502
0.05,0.03,3.66,-23.2915993120215,-0.202659995943764,-0.202659995943764,-23.2915317676961
0.05,0.03,3.7075,-23.2046105559471,-0.203445519101833,-0.203445519101833,-23.2045425433283
0.05,0.03,3.755,-23.1189648607191,-0.204229307523728,-0.204229307523728,-23.1188963902221
0.05,0.03,3.8025,-23.0346321363391,-0.20501145701537,-0.20501145701537,-23.034563218558
0.05,0.03,3.85,-22.951583118767,-0.205792060363928,-0.205792060363928,-22.9515137644671
0.05,0.03,3.8975,-22.8697893434652,-0.206571207226301,-0.206571207226301,-22.8697195635748
0.05,0.03,3.945,-22.7892231198758,-0.207348984038018,-0.207348984038018,-22.7891529254781
0.05,0.03,3.9925,-22.7098575068121,-0.208125473940597,-0.208125473940597,-22.7097869091366
0.05,0.03,4.04,-22.6316662887431,-0.208900756725561,-0.208900756725561,-22.6315952991567
0.05,0.03,4.0875,-22.5546239529467,-0.209674908793511,-0.209674908793511,-22.5545525829451
0.05,0.03,4.135,-22.4787056675087,-0.21044800312665,-0.21044800312665,-22.4786339287073
0.05,0.03,4.1825,-22.4038872601405,-0.211220109273443,-0.211220109273443,-22.4038151642648
