"h [mm]","w [mm]","Freq [GHz]","re(Zo(Port_In)) []","im(Zo(Port_In)) []","dB(S(Port_In,Port_In)) []","dB(S(Port_Out,Port_In)) []"
0.05,0.03,1,56.4397801973919,-7.33520310366347,-44.2946510486375,-0.132312924891295
0.05,0.03,1.038,56.3884150223858,-7.08780699628876,-43.9644650820492,-0.133143435061841
0.05,0.03,1.076,56.3414234068061,-6.85754692783973,-43.6464214546677,-0.133977028027918
0.05,0.03,1.114,56.2982332156783,-6.64271187481586,-43.3396962113874,-0.134812304148511
0.05,0.03,1.152,56.258363497362,-6.44180706896455,-43.0435446640622,-0.135647975841775
0.05,0.03,1.19,56.2214078597394,-6.25352126821916,-42.7572917189319,-0.13648286545306
0.05,0.03,1.228,56.1870212463809,-6.07669975897296,-42.4803236305632,-0.137315902322079
0.05,0.03,1.266,56.1549093436857,-5.91032195824041,-42.2120809345279,-0.138146119189935
0.05,0.03,1.304,56.1248200397482,-5.75348273112103,-41.9520523607651,-0.138972648077204
0.05,0.03,1.342,56.0965364949635,-5.60537672719106,-41.6997695679916,-0.139794715753746
0.05,0.03,1.38,56.0698714875069,-5.46528518401042,-41.454802569498,-0.140611638909371
0.05,0.03,1.418,56.0446627738423,-5.33256475775683,-41.2167557442466,-0.141422819122846
0.05,0.03,1.456,56.0207692623868,-5.20663802808056,-40.9852643459023,-0.142227737715006
0.05,0.03,1.494,55.998067842443,-5.08698539252184,-40.7599914373929,-0.143025950560314
0.05,0.03,1.532,55.9764507441135,-4.97313811964646,-40.5406251906554,-0.14381708292048
0.05,0.03,1.57,55.9558233307628,-4.86467237273446,-40.3268765010112,-0.144600824353381
0.05,0.03,1.608,55.9361022456139,-4.76120404989219,-40.1184768736009,-0.145376923741352
0.05,0.03,1.646,55.9172138496653,-4.66238431374526,-39.9151765458757,-0.146145184474189
0.05,0.03,1.684,55.8990929003449,-4.5678957058564,-39.716742815566,-0.146905459814634
0.05,0.03,1.722,55.8816814299548,-4.47744875881535,-39.5229585480507,-0.147657648467301
0.05,0.03,1.76,55.8649277906093,-4.3907790334289,-39.3336208408094,-0.148401690365969
0.05,0.03,1.798,55.8487858384527,-4.30764452027197,-39.1485398257924,-0.14913756268909
0.05,0.03,1.836,55.833214234826,-4.22782335457025,-38.9675375931912,-0.149865276108902
0.05,0.03,1.874,55.818175845973,-4.15111180138507,-38.7904472223398,-0.150584871275843
0.05,0.03,1.912,55.8036372260535,-4.07732247468941,-38.6171119073719,-0.151296415536836
0.05,0.03,1.95,55.7895681708059,-4.00628275941964,-38.4473841668838,-0.151999999883592
0.05,0.03,1.988,55.7759413313065,-3.93783341016769,-38.2811251282299,-0.152695736124884
0.05,0.03,2.026,55.7627318789911,-3.87182730400948,-38.118203878265,-0.153383754275409
0.05,0.03,2.064,55.7499172145248,-3.80812832818059,-37.9584968733626,-0.154064200152415
0.05,0.03,2.102,55.7374767142704,-3.7466103860175,-37.8018874024171,-0.154737233170577
0.05,0.03,2.14,55.7253915090756,-3.68715650686988,-37.6482650972926,-0.155403024324973
0.05,0.03,2.178,55.7136442909067,-3.62965804762719,-37.4975254858382,-0.156061754351637
0.05,0.03,2.216,55.7022191435222,-3.57401397515016,-37.3495695831575,-0.156713612055072
0.05,0.03,2.254,55.6911013939482,-3.52013022030138,-37.2043035173175,-0.157358792792041
0.05,0.03,2.292,55.6802774819856,-3.46791909546932,-37.0616381861111,-0.157997497101243
0.05,0.03,2.33,55.6697348453773,-3.41729876850882,-36.9214889418665,-0.158629929468491
0.05,0.03,2.368,55.6594618186008,-3.36819278690454,-36.7837753016281,-0.159256297217624
0.05,0.03,2.406,55.6494475435339,-3.32052964672584,-36.6484206803221,-0.159876809517493
0.05,0.03,2.444,55.6396818904848,-3.27424240159877,-36.5153521447749,-0.160491676496028
0.05,0.03,2.482,55.6301553882813,-3.22926830749058,-36.384500186679,-0.161101108452649
0.05,0.03,2.52,55.6208591622924,-3.18554849959628,-36.2557985127977,-0.161705315160926
0.05,0.03,2.558,55.6117848794019,-3.14302769804634,-36.1291838508744,-0.162304505253753
0.05,0.03,2.596,55.6029246990864,-3.10165393952926,-36.0045957698712,-0.162898885683881
0.05,0.03,2.634,55.5942712298569,-3.06137833225027,-35.8819765132941,-0.163488661253011
0.05,0.03,2.672,55.5858174904224,-3.02215483193334,-35.7612708444887,-0.164074034203271
0.05,0.03,2.71,55.5775568750114,-2.98394003682528,-35.6424259028963,-0.164655203865221
0.05,0.03,2.748,55.5694831223635,-2.94669299988121,-35.5253910703597,-0.165232366356994
0.05,0.03,2.786,55.5615902879604,-2.91037505650513,-35.4101178466521,-0.165805714329634
0.05,0.03,2.824,55.5538727191204,-2.87494966639061,-35.2965597334815,-0.166375436754058
0.05,0.03,2.862,55.5463250326286,-2.8403822681584,-35.1846721262926,-0.166941718745419
0.05,0.03,2.9,55.5389420946117,-2.80664014562102,-35.0744122132485,-0.167504741421008
0.05,0.03,2.938,55.5317190024051,-2.77369230462423,-34.9657388808316,-0.168064681788194
0.05,0.03,2.976,55.5246510681867,-2.74150935951994,-34.8586126255541,-0.168621712659148
0.05,0.03,3.014,55.5177338041833,-2.71006342841934,-34.7529954713106,-0.169176002589434
0.05,0.03,3.052,55.510962909274,-2.6793280364585,-34.6488508919485,-0.169727715837731
0.05,0.03,3.09,55.5043342568381,-2.64927802638316,-34.5461437386691,-0.170277012344333
0.05,0.03,3.128,55.4978438837138,-2.61988947582623,-34.4448401719016,-0.170824047726126
0.05,0.03,3.166,55.4914879801459,-2.59113962071056,-34.3449075973266,-0.171368973286116
0.05,0.03,3.204,55.4852628806197,-2.56300678426349,-34.2463146057502,-0.171911936035628
0.05,0.03,3.242,55.4791650554854,-2.5354703111769,-34.1490309165555,-0.17245307872758
0.05,0.03,3.28,55.4731911032921,-2.50851050648989,-34.0530273244789,-0.172992539899337
0.05,0.03,3.318,55.467337743756,-2.48210857880946,-33.9582756494817,-0.173530453923811
0.05,0.03,3.356,55.4616018113005,-2.45624658751947,-33.8647486895035,-0.174066951067615
0.05,0.03,3.394,55.4559802491071,-2.43090739365928,-33.7724201759016,-0.174602157555196
0.05,0.03,3.432,55.4504701036291,-2.40607461418198,-33.6812647313958,-0.175136195637983
0.05,0.03,3.47,55.4450685195195,-2.38173257932729,-33.5912578303522,-0.175669183667679
0.05,0.03,3.508,55.4397727349351,-2.35786629286725,-33.5023757612517,-0.176201236172944
0.05,0.03,3.546,55.4345800771783,-2.33446139500406,-33.4145955912018,-0.176732463938786
0.05,0.03,3.584,55.4294879586462,-2.31150412771765,-33.3278951323582,-0.177262974088003
0.05,0.03,3.622,55.4244938730569,-2.28898130237831,-33.2422529101373,-0.177792870164223
0.05,0.03,3.66,55.4195953919282,-2.26688026945466,-33.1576481331033,-0.178322252215981
0.05,0.03,3.698,55.4147901612853,-2.24518889016189,-33.0740606644281,-0.178851216881444
0.05,0.03,3.736,55.4100758985771,-2.22389550990751,-32.9914709948246,-0.179379857473436
0.05,0.03,3.774,55.405450389783,-2.20298893340377,-32.9098602168652,-0.179908264064392
0.05,0.03,3.812,55.400911486693,-2.18245840132656,-32.829210000599,-0.180436523571002
0.05,0.03,3.85,55.3964571043471,-2.16229356841009,-32.7495025703927,-0.180964719838247
0.05,0.03,3.888,55.3920852186204,-2.14248448287562,-32.6707206829199,-0.18149293372268
0.05,0.03,3.926,55.3877938639423,-2.12302156710052,-32.5928476062324,-0.182021243174702
0.05,0.03,3.964,55.3835811311381,-2.10389559944112,-32.5158670998505,-0.182549723319733
0.05,0.03,4.002,55.3794451653853,-2.08509769713004,-32.4397633958132,-0.183078446538097
0.05,0.03,4.04,55.3753841642733,-2.06661930017403,-32.3645211806325,-0.183607482543536
0.05,0.03,4.078,55.371396375961,-2.04845215618485,-32.2901255781031,-0.184136898460278
0.05,0.03,4.116,55.3674800974242,-2.03058830608023,-32.2165621329154,-0.184666758898535
0.05,0.03,4.154,55.3636336727855,-2.01302007059689,-32.143816795032,-0.18519712602842
0.05,0.03,4.192,55.3598554917229,-1.99574003756219,-32.0718759047804,-0.18572805965221
0.05,0.03,4.23,55.3561439879501,-1.97874104987448,-32.0007261786281,-0.186259617274911
0.05,0.03,4.268,55.3524976377643,-1.96201619414625,-31.930354695598,-0.186791854173148
0.05,0.03,4.306,55.3489149586573,-1.9455587899673,-31.8607488842937,-0.187324823462302
0.05,0.03,4.344,55.3453945079854,-1.92936237974862,-31.7918965105,-0.187858576161931
0.05,0.03,4.382,55.3419348816951,-1.91342071910991,-31.7237856653293,-0.188393161259478
0.05,0.03,4.42,55.3385347131011,-1.89772776777693,-31.656404753885,-0.188928625772228
0.05,0.03,4.458,55.3351926717127,-1.88227768095672,-31.5897424844145,-0.189465014807565
0.05,0.03,4.496,55.331907462107,-1.86706480116149,-31.5237878579282,-0.190002371621556
0.05,0.03,4.534,55.3286778228461,-1.85208365045357,-31.4585301582589,-0.190540737675832
0.05,0.03,4.572,55.3255025254348,-1.837328923086,-31.3939589425408,-0.191080152692827
0.05,0.03,4.61,55.3223803733184,-1.82279547851498,-31.3300640320863,-0.191620654709416
0.05,0.03,4.648,55.3193102009168,-1.80847833476201,-31.2668355036407,-0.19216228012892
0.05,0.03,4.686,55.3162908726947,-1.79437266210507,-31.2042636809973,-0.192705063771587
0.05,0.03,4.724,55.3133212822645,-1.78047377707969,-31.1423391269532,-0.193249038923511
0.05,0.03,4.762,55.3104003515216,-1.76677713677173,-31.081052635592,-0.193794237384076
0.05,0.03,4.8,55.3075270298103,-1.75327833338523,-31.0203952248746,-0.194340689511914
0.05,0.03,4.838,55.3047002931183,-1.7399730890696,-30.9603581295264,-0.19488842426947
0.05,0.03,4.876,55.3019191432991,-1.72685725099156,-30.9009327942047,-0.195437469266144
0.05,0.03,4.914,55.2991826073208,-1.71392678663781,-30.8421108669339,-0.195987850800097
0.05,0.03,4.952,55.2964897365404,-1.70117777933604,-30.7838841927959,-0.196539593898731
0.05,0.03,4.99,55.2938396060025,-1.68860642398192,-30.7262448078645,-0.197092722357896
0.05,0.03,5.028,55.2912313137605,-1.67620902296079,-30.6691849333716,-0.197647258779839
0.05,0.03,5.066,55.2886639802213,-1.66398198225388,-30.6126969700951,-0.198203224609957
0.05,0.03,5.104,55.2861367475106,-1.65192180771853,-30.5567734929586,-0.198760640172376
0.05,0.03,5.142,55.2836487788584,-1.64002510153377,-30.5014072458335,-0.199319524704377
0.05,0.03,5.18,55.2811992580057,-1.62828855880202,-30.4465911365336,-0.199879896389741
0.05,0.03,5.218,55.2787873886285,-1.61670896429905,-30.3923182319953,-0.200441772391
0.05,0.03,5.256,55.2764123937813,-1.60528318936431,-30.3385817536333,-0.20100516888068
0.05,0.03,5.294,55.2740735153576,-1.59400818892447,-30.2853750728656,-0.201570101071518
0.05,0.03,5.332,55.2717700135676,-1.58288099864335,-30.2326917068003,-0.202136583245725
0.05,0.03,5.37,55.2695011664319,-1.57189873219188,-30.1805253140767,-0.202704628783293
0.05,0.03,5.408,55.2672662692914,-1.56105857863192,-30.1288696908538,-0.203274250189413
0.05,0.03,5.446,55.2650646343318,-1.55035779990841,-30.077718766942,-0.203845459120995
0.05,0.03,5.484,55.2628955901236,-1.53979372844438,-30.0270666020687,-0.20441826641236
0.05,0.03,5.522,55.2607584811749,-1.52936376483397,-29.9769073822757,-0.204992682100093
0.05,0.03,5.56,55.2586526674992,-1.5190653756283,-29.9272354164404,-0.205568715447112
0.05,0.03,5.598,55.2565775241954,-1.50889609121016,-29.8780451329165,-0.206146374965958
0.05,0.03,5.636,55.2545324410409,-1.498853503753,-29.8293310762898,-0.206725668441374
0.05,0.03,5.674,55.2525168220971,-1.48893526526029,-29.7810879042439,-0.207306602952131
0.05,0.03,5.712,55.2505300853263,-1.4791390856814,-29.7333103845313,-0.207889184892192
0.05,0.03,5.75,55.2485716622204,-1.4694627311006,-29.6859933920459,-0.208473419991184
0.05,0.03,5.788,55.2466409974407,-1.45990402199549,-29.6391319059935,-0.209059313334266
0.05,0.03,5.826,55.244737548468,-1.45046083156204,-29.5927210071543,-0.20964686938132
0.05,0.03,5.864,55.242860785264,-1.44113108410287,-29.5467558752368,-0.210236091985591
0.05,0.03,5.902,55.2410101899413,-1.43191275347607,-29.501231786317,-0.21082698441172
0.05,0.03,5.94,55.2391852564444,-1.4228038616019,-29.456144110361,-0.211419549353228
0.05,0.03,5.978,55.2373854902393,-1.41380247702452,-29.4114883088272,-0.212013788949455
0.05,0.03,6.016,55.2356104080127,-1.40490671352666,-29.3672599323451,-0.212609704801979
0.05,0.03,6.054,55.2338595373794,-1.39611472879478,-29.3234546184683,-0.213207297990546
0.05,0.03,6.092,55.2321324165984,-1.38742472313218,-29.2800680894982,-0.213806569088485
0.05,0.03,6.13,55.2304285942978,-1.3788349382187,-29.2370961503761,-0.21440751817769
0.05,0.03,6.168,55.2287476292068,-1.37034365591427,-29.1945346866409,-0.215010144863118
0.05,0.03,6.206,55.2270890898959,-1.36194919710499,-29.152379662451,-0.215614448286877
0.05,0.03,6.244,55.2254525545247,-1.35364992058959,-29.110627118666,-0.216220427141879
0.05,0.03,6.282,55.2238376105962,-1.34544422200472,-29.0692731709881,-0.21682807968509
