w [mm],h [mm],Re(Zo) [Ohm],Im(Zo) [Ohm],|Z| [Ohm]
0.03,0.05,55.1385493491132,-0.888035307962616,55.145700023055106
0.03,0.1,68.1591520651361,-0.901285807616054,68.16511077043268
0.03,0.2,74.8116067207419,-0.913557690994113,74.81718444176933
0.03,0.5,75.7743693889208,-0.919037028777787,75.77994250030072
0.05,0.05,44.4227940952945,-0.515002161611852,44.42577925551106
0.05,0.1,59.0362191764325,-0.508673670398232,59.03841057778176
0.05,0.2,70.8534604886316,-0.510005521064503,70.85529598304981
0.05,0.5,75.9455569644168,-0.512652024131299,75.94728721115273
0.2,0.05,18.954242309642,-0.102493652379093,18.954519421008833
0.2,0.1,30.4313061925149,-0.0805290950303844,30.43141274271936
0.2,0.2,44.4753256800151,-0.0508720910814581,44.475354774448526
0.2,0.5,63.09348675443,-0.016792480503484,63.09348898910913
